mes,psi,ks,auc,nivel_alerta,resumo_executivo,causa_provavel,recomendacao,cor_alerta
1,0.0066,0.421,0.7841,normal,"O modelo de score apresenta desempenho saudável no mês 1. O PSI de 0.007 indica que a distribuição da população analisada permanece praticamente idêntica à base de desenvolvimento — nenhuma mudança relevante de perfil foi detectada. O poder discriminante do modelo segue em nível adequado, com KS de 0.421 e AUC de 0.784, sem sinais de deterioração. Não há histórico dos meses anteriores disponível para análise de tendência, portanto este mês servirá como ponto de referência inicial para os próximos ciclos de monitoramento.","População analisada é estável e compatível com a base de desenvolvimento do modelo. A ausência de histórico prévio impede análise de tendência, mas os indicadores atuais não apontam nenhuma causa de preocupação.","Manter o ciclo regular de monitoramento mensal. À medida que o histórico for sendo construído, será possível identificar tendências de deriva (PSI) ou degradação do poder preditivo (KS/AUC). Nenhuma ação corretiva é necessária neste momento.",Verde
2,0.0096,0.3694,0.7211,atencao,"O modelo apresenta população estável (PSI = 0,010, dentro do limite seguro), mas registrou queda relevante no poder de separação entre bons e maus pagadores: o KS recuou de 0,421 para 0,369 e o AUC caiu de 0,784 para 0,721 em relação ao mês anterior. Embora os valores ainda estejam em patamar aceitável, a trajetória de queda em ambas as métricas de discriminação merece acompanhamento próximo para evitar deterioração adicional.","A estabilidade do PSI descarta mudança significativa no perfil da população entrante. A queda simultânea de KS e AUC sugere perda de poder preditivo do modelo, possivelmente causada por mudanças no comportamento de pagamento dos clientes (ex.: sazonalidade, alterações macroeconômicas ou mudanças na política de crédito) que não estão sendo capturadas adequadamente pelas variáveis atuais do modelo.","1. Investigar as faixas de score onde a discriminação piorou (análise de KS por decil) para identificar se a queda está concentrada em algum segmento específico. 2. Avaliar se houve mudança recente na política de crédito ou no mix de produtos que possa explicar a alteração no comportamento de inadimplência. 3. Monitorar com prioridade no próximo mês: se KS cair abaixo de 0,30 ou AUC abaixo de 0,70, escalar para nível crítico e iniciar processo formal de recalibragem ou redesenvolvimento do modelo.",Amarelo
3,0.0149,0.2611,0.6575,critico,"O modelo apresenta degradação severa no poder de discriminação entre bons e maus pagadores no mês 3, com quedas expressivas nas métricas de desempenho. O KS caiu de 0.421 (mês 1) para 0.261 (mês 3) — uma redução de aproximadamente 38% — e o AUC despencou de 0.784 para 0.657, perda de cerca de 16 pontos percentuais em apenas dois meses. O PSI permanece baixo (0.015), indicando que o perfil da população analisada não mudou significativamente. Isso significa que o problema está no modelo em si, não nos clientes que estão sendo avaliados. Em termos práticos, o modelo está perdendo a capacidade de separar quem vai pagar de quem vai inadimplir, o que aumenta o risco de concessões inadequadas de crédito.","A estabilidade do PSI (0.015, bem abaixo do limiar de 0.10) descarta mudança relevante na distribuição da população como causa da degradação. A queda consistente e acelerada do KS e do AUC ao longo dos três meses aponta para deterioração do próprio modelo: as variáveis preditivas utilizadas no score podem ter perdido aderência ao comportamento de risco atual dos clientes — possivelmente em função de mudanças macroeconômicas, alterações no comportamento de pagamento ou desatualização das relações estatísticas capturadas no treinamento original do modelo.",,Vermelho
4,0.0095,0.3434,0.6953,critico,"O modelo de score apresenta deterioração severa e consistente ao longo dos últimos 4 meses. O poder de separação entre bons e maus pagadores caiu de forma acentuada: o KS recuou de 0.421 (mês 1) para 0.343 (mês 4), uma queda de 18,5%, e o AUC despencou de 0.784 para 0.695, perda de cerca de 11 pontos percentuais. Essa tendência de queda ininterrupta indica que o modelo está progressivamente menos capaz de identificar clientes de risco. O PSI, por sua vez, permanece baixo (0.009 no mês 4), o que sinaliza que a distribuição dos scores não mudou significativamente — ou seja, o problema não é de mudança de perfil da carteira, mas sim de perda real de acurácia do modelo. A situação exige ação imediata.","A estabilidade do PSI combinada com a queda expressiva e contínua de KS e AUC aponta para degradação do próprio modelo, e não para uma mudança na população atendida. As causas mais prováveis são: (1) mudança no comportamento de inadimplência dos clientes que o modelo não consegue mais capturar adequadamente, possivelmente por alterações macroeconômicas ou de perfil de crédito ocorridas após a data de desenvolvimento do modelo; (2) desatualização das variáveis preditoras utilizadas no score, que podem ter perdido poder explicativo ao longo do tempo; (3) o modelo pode ter sido desenvolvido em um período atípico e não generaliza bem para o comportamento atual da carteira.",,Vermelho
5,0.0098,0.3702,0.7315,normal,"O modelo de score apresenta desempenho estável no mês 5. O PSI de 0.010 indica que o perfil da população analisada permanece praticamente igual ao período de desenvolvimento — sem sinais de deriva populacional. O poder discriminante do modelo está sólido e em recuperação: o KS subiu de 0.343 para 0.370 e o AUC passou de 0.695 para 0.732, ambos os melhores valores dos últimos quatro meses. Vale notar que o mês 3 registrou queda relevante no KS (0.261) e AUC (0.657), mas essa deterioração foi revertida nos meses seguintes, sugerindo um evento pontual e não uma tendência estrutural. O modelo está apto para uso em produção sem necessidade de intervenção imediata.","A instabilidade observada no mês 3 (queda de KS e AUC) provavelmente decorreu de um evento temporário — como mudança sazonal no mix de solicitações, alteração pontual na política de concessão ou entrada de uma safra atípica de clientes. A recuperação consistente nos meses 4 e 5, com PSI baixo durante todo o período, reforça que não houve mudança estrutural na população nem degradação do modelo.","1. Manter o monitoramento mensal padrão, com atenção especial ao KS e AUC, que são os indicadores mais sensíveis à qualidade discriminante do modelo. 2. Investigar retroativamente o evento do mês 3: identificar a causa da queda pontual de desempenho ajuda a antecipar e mitigar ocorrências futuras similares. 3. Caso o KS caia abaixo de 0.30 ou o AUC abaixo de 0.680 em meses futuros, escalar imediatamente para avaliação de recalibração ou retraining do modelo.",Verde
6,0.0225,0.4691,0.7885,normal,"O modelo de score apresenta desempenho saudável e em melhora consistente no mês 6. O PSI de 0.022 indica que o perfil da população entrante é praticamente idêntico ao da população de desenvolvimento — sem sinais de deriva relevante. O poder discriminante do modelo, medido pelo KS (0.469) e AUC (0.788), não apenas se manteve estável como registrou evolução positiva nos últimos 4 meses, atingindo seus melhores valores históricos no período analisado. Não há nenhum sinal de deterioração do modelo; ao contrário, as métricas reforçam sua confiabilidade para uso operacional.",A melhora progressiva do KS (de 0.261 no mês 3 para 0.469 no mês 6) e da AUC (de 0.657 para 0.788 no mesmo período) sugere um processo de maturação da carteira ou aprimoramento na qualidade dos dados de entrada ao longo dos meses. O PSI consistentemente baixo (abaixo de 0.025 em todos os meses) indica que a composição da população sendo pontuada permanece estável e aderente à base de desenvolvimento do modelo.,"Manter o ciclo regular de monitoramento mensal. Nenhuma ação corretiva é necessária. Recomenda-se registrar o patamar atual de KS e AUC como nova referência de desempenho esperado para os próximos meses, ajustando os thresholds de alerta caso ainda estejam calibrados com base nos valores mais baixos do mês 3. Continuar acompanhando o PSI para detectar precocemente qualquer mudança no perfil da população.",Verde
7,0.0114,0.3576,0.6741,atencao,"O modelo apresentou queda relevante nas métricas de desempenho no mês 7. O AUC recuou de 0.788 para 0.674 e o KS de 0.469 para 0.358 — ambos os indicadores voltaram a níveis próximos aos dos meses 4 e 5, revertendo a tendência de melhora observada no mês 6. O PSI permanece baixo (0.011), indicando que o perfil da população de entrada não mudou de forma significativa. Ou seja, o modelo está atendendo um público semelhante ao de antes, mas perdeu capacidade de separar bons e maus pagadores. Isso exige investigação imediata.","A combinação de PSI estável com queda simultânea de AUC e KS afasta a hipótese de mudança na população de entrada. A causa mais provável é degradação do poder preditivo do modelo em si — possivelmente por alteração no comportamento de pagamento dos clientes em relação ao que foi observado na janela de desenvolvimento (concept drift), ou por alguma mudança operacional na originação que afetou a qualidade dos dados usados pelo modelo. O salto pontual de desempenho no mês 6 (KS 0.469, AUC 0.788) também merece verificação: pode ter havido um viés de amostragem ou evento atípico naquele mês que inflou as métricas e mascarou uma degradação já em curso.",,Amarelo
8,0.0118,0.3823,0.7442,normal,"O modelo de score apresenta desempenho estável no mês 8. O PSI de 0,012 indica que a população atendida não sofreu mudanças relevantes em relação à base de desenvolvimento. O KS de 0,382 e o AUC de 0,744 mostram boa capacidade de separação entre bons e maus pagadores, com leve recuperação em relação ao mês 7, quando ambas as métricas haviam recuado. Não há evidências de deterioração do modelo neste momento.","O mês 7 apresentou queda isolada de KS (0,358) e AUC (0,674), sugerindo uma oscilação pontual — possivelmente relacionada ao perfil do safra daquele período ou a variações sazonais na carteira. No mês 8, as métricas se recuperaram para níveis próximos à média histórica recente (KS ~0,37–0,47; AUC ~0,73–0,79), indicando que o episódio anterior não representou uma tendência de degradação. O PSI permanece baixo e consistente nos últimos dois meses (0,011–0,012), reforçando estabilidade populacional.","Manter o monitoramento mensal padrão. Investigar retrospectivamente o safra do mês 7 para entender a causa da queda de desempenho naquele período e avaliar se há algum segmento de cliente ou canal de originação que explique a oscilação. Caso o KS ou AUC voltem a recuar nos próximos meses, escalar para nível de atenção e iniciar diagnóstico aprofundado das variáveis do modelo.",Verde
9,0.0275,0.3688,0.7254,atencao,"O modelo apresenta estabilidade populacional satisfatória no mês 9 (PSI = 0,028), dentro do limite seguro. Contudo, as métricas de desempenho discriminante acumulam queda relevante nos últimos meses: o KS recuou de 0,469 (mês 6) para 0,369 (mês 9), e o AUC saiu de 0,788 para 0,725 no mesmo período — uma redução de aproximadamente 8 pontos percentuais. Isso significa que o modelo está perdendo capacidade de separar bons e maus pagadores, o que pode comprometer a qualidade das decisões de crédito. O nível de alerta é de ATENÇÃO: o modelo ainda opera, mas a tendência de degradação exige investigação imediata antes que os indicadores atinjam patamares críticos.","A estabilidade do PSI descarta mudança brusca no perfil da população entrante como causa principal. A queda consistente de KS e AUC ao longo de 4 meses consecutivos sugere degradação do próprio poder preditivo do modelo, possivelmente causada por: (1) mudança no comportamento de pagamento dos clientes em relação ao período de desenvolvimento do modelo; (2) alterações nas variáveis de entrada (ex.: dados de bureau, renda, histórico interno) que modificaram sua relação com o risco real; ou (3) mudança na política de concessão que alterou o mix de risco da carteira aprovada, afetando a amostra de validação.",,Amarelo
10,0.0056,0.3458,0.7266,normal,"O modelo apresenta desempenho estável no mês 10. O PSI de 0.006 indica que a população de clientes está praticamente inalterada em relação à amostra de desenvolvimento — bem abaixo do limiar de atenção. O KS de 0.346 e o AUC de 0.727 mostram que o modelo mantém boa capacidade de separar bons e maus pagadores, em linha com os meses anteriores. O leve recuo do KS (de 0.383 no mês 8 para 0.347 no mês 10) não é preocupante dado o nível absoluto ainda saudável e a estabilidade do AUC. Não há evidência de deterioração do modelo neste momento.","Estabilidade natural do portfólio. O PSI elevado observado no mês 9 (0.028, limiar de atenção) não se confirmou como tendência, revertendo para níveis mínimos no mês 10. A pequena variação em KS e AUC está dentro do ruído estatístico esperado em monitoramentos mensais.","Manter o ciclo de monitoramento mensal padrão. Não são necessárias ações corretivas no modelo. Recomenda-se observar se a queda gradual do KS (0.383 → 0.369 → 0.346) persiste nos próximos meses, pois uma tendência de baixa contínua pode sinalizar perda de poder discriminante no médio prazo — mesmo que cada valor individualmente ainda seja aceitável.",Verde
